品項名稱,類別,克數,價格,CP值,新增時間
DHC 金靚白水亮防曬乳,防曬,50,380,7.6,
露得清防曬,防曬,50,299.5,5.99,
妮維雅 三重防護水感防曬凝乳,防曬,180,389,2.1611,
雪芙蘭防曬,防曬,170,193,1.1353,
曼秀雷敦水潤肌高濃度玻尿酸防曬精華,防曬,70,279,3.9857,
未來美C 團購,美白精華,30,690,23.0,
未來美C 團購(85折優惠券),美白精華,30,586.5,19.55,
Parnell 煙酰胺20.35大米提亮精華,美白精華,30,556,18.5333,
Numbuzin 5穀胱甘肽,美白精華,30,479,15.9667,
Im meme 蜜粉,彩妝,10,248,24.8,
貝膚黛瑪卸妝水(全聯),清潔用品,2000,996,0.498,
貝膚黛瑪卸妝水 500ml,清潔用品,500,249,0.498,
貝膚黛瑪卸妝水 850ml,清潔用品,850,423,0.4976,
桂花沐浴乳,沐浴乳,1000,159,0.159,
白博士洗手乳,洗手乳,2000,178,0.089,
美琪洗手乳,洗手乳,700,99,0.1414,
凡士林水楊酸身體乳,身體乳,300,178,0.5933,
雷神巧克力,食物,877.5,429,0.4889,
雷神巧克力(日本版),食物,139,49,0.3525,
藍莓(全聯 富),食物,350,168,0.48,
藍莓(家樂福),食物,400,209,0.5225,
藍莓(天時),食物,227,99,0.4361,
藍莓(美聯社線上),食物,200,99,0.495,
藍莓(美聯社),食物,200,129,0.645,
